sensorId,lat,lon,boxId,temperatur_2019-01-24T16Z,temperatur_2019-01-24T17Z,temperatur_2019-01-24T18Z,temperatur_2019-01-24T19Z,temperatur_2019-01-24T20Z,temperatur_2019-01-24T21Z,temperatur_2019-01-24T22Z,temperatur_2019-01-24T23Z,temperatur_2019-01-25T00Z,temperatur_2019-01-25T01Z,temperatur_2019-01-25T02Z,temperatur_2019-01-25T03Z,temperatur_2019-01-25T04Z,temperatur_2019-01-25T05Z,temperatur_2019-01-25T06Z,temperatur_2019-01-25T07Z,temperatur_2019-01-25T08Z,temperatur_2019-01-25T09Z,temperatur_2019-01-25T10Z,temperatur_2019-01-25T11Z,temperatur_2019-01-25T12Z,temperatur_2019-01-25T13Z,temperatur_2019-01-25T14Z,temperatur_2019-01-25T15Z,temperatur_2019-01-25T16Z,temperatur_2019-01-25T17Z
5a0c347b9fd3c2001111b708,51.921125,7.620665,5a0c347b9fd3c2001111b701,-2.7651666666666666,-2.9393442622950823,-3.259333333333333,-3.4218333333333333,-3.1776666666666666,-2.9988333333333332,-2.936,-2.833666666666667,-2.8078333333333334,-2.6689999999999996,-2.659666666666667,-2.5735,-2.5146666666666664,-2.9356666666666666,-3.4255,-3.9246666666666665,-3.292333333333333,-2.6718333333333333,-1.9253333333333333,-1.5048333333333335,-1.1296666666666666,-0.7396666666666667,-0.1075,0.5603333333333332,0.69,
5a30ea5375a96c000f012fe7,51.951978,7.628977,5a30ea5375a96c000f012fe0,-2.5025,-2.464833333333333,-2.676,-2.5753333333333335,-2.4084999999999996,-2.3525,-2.2224999999999997,-1.9666666666666666,-1.826,-1.7436666666666667,-1.7465000000000002,-1.9213333333333333,-2.0536666666666665,-2.1086666666666667,-2.6505,-3.0133333333333336,-2.6334999999999997,-2.0538333333333334,-1.4326666666666665,-0.9098333333333334,-0.514,0.07949999999999999,1.1005,1.942,1.934,
5a687677411a79001944413a,51.959126,7.605076,5a687677411a790019444133,-2.001,-2.1618333333333335,-2.263,-2.3598333333333334,-2.106,-1.9726666666666666,-1.9061666666666668,-1.5938333333333332,-1.3641666666666665,-1.4458333333333333,-1.3825,-1.3228333333333333,-1.488,-1.753,-2.378833333333333,-2.6300000000000003,-2.189,-1.7668333333333335,-1.129,-0.5106666666666667,-0.3395,0.12933333333333333,1.1416666666666666,2.0071666666666665,2.11,
5a809753398b820011b45e88,51.953156,7.544077,5a809753398b820011b45e83,-2.0421666666666667,-2.4595,-2.3361666666666663,-2.296,-2.4016666666666664,-2.2886666666666664,-2.119333333333333,-2.0606666666666666,-2.044754098360656,-1.9845,-1.8943333333333332,-1.9888333333333332,-2.1015,-2.602333333333333,-3.1614999999999998,-3.0525,-2.6625,-2.181166666666667,-1.3636666666666666,-0.8245,-0.5195000000000001,-0.14316666666666666,0.5083333333333333,1.2076666666666669,1.332,
5ab3dd50850005001bd25b5a,51.972139,7.642386,5ab3dd50850005001bd25b55,-1.2180952380952381,-1.3285365853658537,-1.3692857142857142,-1.5754761904761905,-1.4449999999999998,-1.2426190476190475,-1.151951219512195,,,,,,,-1.3547619047619048,-1.539047619047619,-1.9197560975609755,-1.7621428571428572,-0.9595238095238094,0.009024390243902438,0.7145238095238096,0.8221428571428572,1.412857142857143,2.0548780487804876,2.5083333333333333,2.4625,
5abd221b850005001b1aff37,51.973023,7.64153,5abd221b850005001b1aff35,16.479166666666668,16.8125,16.85833333333333,17.266666666666666,17.462500000000002,17.316666666666666,17.016666666666666,16.954166666666666,16.883333333333333,16.741666666666667,16.620833333333334,16.879166666666666,16.787499999999998,16.8125,16.95,14.716666666666667,13.5375,12.833333333333334,14.933333333333335,17.854166666666668,18.133333333333333,18.325,18.683333333333334,17.916666666666668,15.75,
5ac9be65c4edec00190439f1,51.976309,7.626046,5ac9be65c4edec00190439ef,-1.3083333333333333,-1.6375,-1.5125,-1.5791666666666666,-1.8666666666666665,-1.8666666666666665,-1.6708333333333334,-1.5583333333333333,-1.5374999999999999,-1.8,-1.8875,-1.8166666666666667,-1.9083333333333332,-1.6500000000000001,-2.1041666666666665,-2.608695652173913,-2.216666666666667,-1.7458333333333333,-0.22083333333333333,0.14166666666666666,1.0083333333333333,1.7083333333333333,2.466666666666667,2.591666666666667,2.4,
5ac9edb1c4edec00190b2147,51.980717,7.65084,5ac9edb1c4edec00190b2145,-1.8933333333333333,-2.4,-2.3333333333333335,-2.3615384615384616,-2.3466666666666662,-2.1545454545454543,-2.1,-2.023529411764706,-2.262068965517241,-2.3931034482758617,-2.5037037037037035,-2.412,-2.3703703703703702,-2.295833333333333,-2.068,-2.56,-2.275,-1.3611111111111112,0.23461538461538464,1.1391304347826086,1.4842105263157894,1.4083333333333332,1.9461538461538461,2.2185185185185183,2.1,
5acfae2a223bd8001977b620,51.988501,7.646677,5acfae2a223bd8001977b61e,-2.991304347826087,-3.1208333333333336,-2.9791666666666665,-3.1916666666666664,-3.0583333333333336,-2.908333333333333,-2.783333333333333,-2.7416666666666667,-2.8333333333333335,-2.9625,-3.079166666666667,-3.0416666666666665,-3.0708333333333333,-3.1041666666666665,-2.8958333333333335,-3.204166666666667,-3.2624999999999997,-2.670833333333333,-1.7541666666666667,-1.0208333333333333,-0.7291666666666666,-0.4083333333333334,0.14583333333333334,0.7000000000000001,0.7,
5ae36891223bd8001972fb54,51.957807,7.642804,5ae36891223bd8001972fb52,-2.4,-2.4583333333333335,-2.5124999999999997,-2.5416666666666665,-2.475,-2.4,-2.2083333333333335,-2.033333333333333,-1.9416666666666667,-1.8791666666666667,-1.8880000000000001,-1.8458333333333332,-1.8333333333333333,-2.0166666666666666,-2.6625,-3.279166666666667,-2.966666666666667,-2.433333333333333,-1.4375,-0.7374999999999999,-0.5,-0.04583333333333334,0.7291666666666666,1.5333333333333332,1.5666666666666667,
5ae36a64223bd80019734631,51.973884,7.615585,5ae36a64223bd8001973462f,0.3,0.14285714285714285,0.3,0.03333333333333333,0.16,0.1,0.10000000000000002,0.35,0.5818181818181818,0.51,0.5181818181818182,0.4444444444444444,0.43333333333333335,0.5461538461538461,0.29090909090909095,0.17777777777777778,0.2,0.24,0.7083333333333334,1.0875,1.3727272727272728,1.781818181818182,2.533333333333333,3.388888888888889,,
5b2689841fef04001b7af54c,51.966853,7.661677,5b2689841fef04001b7af54a,-2.2636363636363637,-2.2264150943396226,-2.424074074074074,-2.3563636363636364,-1.0672727272727274,-1.8462962962962963,-2.112727272727273,-1.8703703703703705,-1.9436363636363638,-2.069090909090909,-2.04,-1.9563636363636365,-1.9963636363636363,-2.142592592592593,-2.2072727272727275,-3.0185185185185186,-2.8490909090909087,-2.2618181818181817,-1.5909090909090908,-0.7888888888888889,-0.7351851851851853,-0.33999999999999997,0.5518518518518518,1.3314814814814815,1.4,
5b2cc9471fef04001b7b4b44,51.928442,7.667642,5b2cc9471fef04001b7b4b3f,5.422222222222222,4.5875,4.2,4.0249999999999995,3.5142857142857147,3.0545454545454547,2.8499999999999996,2.8899999999999997,2.8,2.6625,2.7,2.809090909090909,3.0444444444444443,3.857142857142857,4.1571428571428575,3.5,3.8625,5.125,6.5,7.6000000000000005,8.175,8.45,9.03,9.357142857142858,,
5b3e7f6f5dc1ec001be11cf4,51.994149,7.569078,5b3e7f6f5dc1ec001be11cf1,-3.266666666666667,-3.4416666666666664,-3.64,-3.720833333333333,-3.768333333333333,-3.752083333333333,-3.7325,-3.5516666666666663,-3.6750000000000003,-3.6595833333333334,-3.6512499999999997,-3.719583333333333,-3.7095833333333332,-3.561666666666667,-4.225833333333333,-4.71375,-4.002083333333333,-2.8665217391304343,-1.21,0.011250000000000005,0.33499999999999996,0.4370833333333333,0.8716666666666667,0.9075000000000001,0.775,
5b69c0bb9c135100199dd682,51.961585,7.582503,5b69c0bb9c135100199dd67c,-2.7106666666666666,-2.8145000000000002,-2.779166666666667,-3.5011666666666668,-3.4814999999999996,-3.117166666666667,-3.094333333333333,-3.202833333333333,-3.0758333333333336,-2.879833333333333,-2.820333333333333,-2.7070000000000003,-2.6310000000000002,-2.698,-2.9736666666666665,-3.4088333333333334,-3.536,-2.8795,-1.8066666666666669,-1.2881666666666665,-0.9421666666666667,-0.6251666666666666,-0.14566666666666667,0.198,0.31,
5bd46cdcc74cf4001bd3361e,51.993416,7.54397,5bd46cdcc74cf4001bd33617,-3.411111111111111,-3.4029411764705886,-3.442391304347826,-3.6436956521739132,-3.6709803921568627,-3.684318181818182,-3.6763999999999997,-3.4670588235294115,-3.427924528301887,-3.4694,-3.4438,-3.5199999999999996,-3.5310869565217393,-3.4553061224489796,-3.988979591836735,-4.249090909090909,-3.9064150943396223,-3.214318181818182,-2.299591836734694,-1.6463999999999999,-1.291346153846154,-0.9391489361702128,-0.10321428571428572,0.5428888888888889,0.746,
