sensorId,lat,lon,boxName,boxId,2019-01-01T23Z,2019-01-02T00Z,2019-01-02T01Z,2019-01-02T02Z,2019-01-02T03Z,2019-01-02T04Z,2019-01-02T05Z,2019-01-02T06Z,2019-01-02T07Z,2019-01-02T08Z,2019-01-02T09Z,2019-01-02T10Z,2019-01-02T11Z,2019-01-02T12Z,2019-01-02T13Z,2019-01-02T14Z,2019-01-02T15Z,2019-01-02T16Z,2019-01-02T17Z,2019-01-02T18Z,2019-01-02T19Z,2019-01-02T20Z,2019-01-02T21Z,2019-01-02T22Z,2019-01-02T23Z,2019-01-03T00Z
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,5.599833333333334,5.536833333333333,5.718,5.410666666666667,5.772666666666667,6.183000000000001,6.385166666666667,5.854833333333334,5.432833333333334,5.772166666666666,8.2205,10.6455,10.026666666666667,9.424833333333334,8.8445,7.2604999999999995,5.944,4.821166666666667,4.07304347826087,,,,,,,
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,6.001186440677966,5.964666666666667,6.069833333333333,5.6065,6.129333333333333,6.520833333333333,6.673500000000001,6.218666666666667,5.827666666666667,5.9525,6.183000000000001,7.055833333333334,7.163666666666667,7.146333333333333,6.980833333333334,6.4815,5.721166666666666,4.917833333333333,4.649666666666667,4.192166666666667,4.051833333333333,3.948,3.9598333333333335,4.143166666666667,4.063166666666667,4.1745
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,5.9225,5.86406779661017,6.010000000000001,5.639166666666667,6.007000000000001,6.3785,6.474833333333334,6.039333333333333,5.7065,5.881186440677967,6.131896551724138,6.918666666666667,7.146333333333333,7.020666666666667,6.693,6.314333333333334,5.524666666666667,4.694,4.206666666666667,4.033833333333333,4.376666666666667,4.084,4.099152542372881,4.163,4.0465,4.1795
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,6.265333333333333,6.199166666666667,6.452166666666667,6.039833333333333,6.501,6.907333333333333,6.909833333333333,6.429666666666666,6.149500000000001,6.4355,6.600499999999999,8.255166666666666,10.077666666666666,9.634333333333332,7.832833333333334,7.3005,6.325166666666666,5.402,4.901833333333333,4.260666666666667,4.360338983050847,4.1498333333333335,4.2908333333333335,4.4855,4.3998333333333335,4.524666666666667
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,5.3895,5.3955,5.4135,4.9511666666666665,5.354666666666666,5.700833333333334,5.9655000000000005,5.424833333333334,4.982666666666666,5.077666666666667,5.433000000000001,6.100333333333333,6.316333333333334,6.283166666666667,6.099333333333333,5.742,4.926666666666667,3.633666666666667,1.8013333333333332,1.4163333333333334,1.4978333333333333,1.4396666666666667,1.2096666666666667,1.9301666666666668,2.2115,2.9778333333333333
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,6.012833333333333,5.9635,6.0835,5.652166666666667,6.162833333333333,6.605,6.725833333333333,6.215833333333333,5.7825,6.112166666666667,8.750666666666666,7.609333333333334,7.7044999999999995,10.069833333333332,9.3795,7.012666666666666,5.958644067796611,5.092666666666667,4.197,3.8286666666666664,4.107,3.8256666666666663,3.8406666666666665,4.019166666666667,3.9705,4.197666666666667
5a687677411a79001944413a,51.959126,7.605076,AFO Uni Münster,5a687677411a790019444133,6.2165,6.148666666666667,6.207,5.756333333333333,6.335333333333334,6.808333333333334,6.915166666666667,6.412333333333334,5.947500000000001,6.336,6.807833333333333,7.512333333333333,8.107333333333333,8.688833333333333,9.469333333333333,7.416833333333333,6.103166666666667,5.114,4.443833333333333,4.138333333333334,4.398166666666667,4.219333333333333,4.277666666666667,4.4165,4.293333333333334,4.507499999999999
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,6.1530000000000005,6.136,6.121166666666666,5.8945,6.266333333333334,6.551166666666666,6.678833333333333,6.092666666666667,5.7365,6.042459016393442,6.245833333333334,7.026333333333333,7.534166666666667,7.441666666666666,7.312833333333333,6.9775,5.634166666666667,4.484666666666667,3.6986666666666665,2.6685000000000003,3.0046666666666666,3.129833333333333,3.2546666666666666,3.878,4.019666666666667,4.4175
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,,,,,,,6.728809523809524,6.259047619047619,5.983902439024391,6.240476190476191,6.424878048780489,7.187380952380953,7.414761904761905,7.454047619047619,7.075952380952381,6.594390243902439,5.764285714285714,4.741666666666667,3.9809756097560975,3.5914285714285716,4.160952380952381,3.8854761904761905,4.297073170731707,4.26047619047619,,
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,17.016666666666666,16.895833333333332,16.879166666666666,16.587500000000002,16.570833333333333,16.545833333333334,16.625,16.75,15.872727272727273,15.55,16.55263157894737,16.59,16.905,15.970833333333333,16.16190476190476,16.520833333333332,16.379166666666666,16.1625,16.158333333333335,15.733333333333334,15.908333333333333,15.75,15.8375,15.649999999999999,15.52857142857143,15.538095238095238
